Cód. Institución,Nombre Institución,Año Creación,Tradicional,NombreRector,Direccion,Comuna Casa Central,Region Casa Central,Dirección Web,Años,Acred. Inst. 30 octubre 2020,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Vigencia Desde,Vigencia Hasta,Proceso
2033,I.P. INSTITUTO NACIONAL DEL FÚTBOL,1997,Institutos Profesionales,Martín Mihovilovic Contreras,Avda. Quilín 5635-A,Peñalolén,Región Metropolitana,www.inaf.cl,6,ACREDITADA,Si,Si,No,No,No,02/10/2014,02/10/2020,Autonoma
2034,I.P. ESUCOMEX,1989,Institutos Profesionales,Giovani Pinedo Arellano,Ejercito Libertador 133,Santiago,Región Metropolitana,www.esucomex.cl,5,ACREDITADA,Si,Si,No,No,No,21/12/2018,21/12/2023,Autonoma
2035,I.P. ADVENTISTA,1982,Institutos Profesionales,Ricardo González Astudillo,Fundo Las Mariposas Km 12 camino a Tanilvoro,Chillán,Región de Ñuble,www.ipadventista.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
2037,I.P. DE CHILE,1989,Institutos Profesionales,Anamari Martínez Elortegui,Avenida Republica 285,Santiago,Región Metropolitana,www.ipchile.cl,2,ACREDITADA,Si,Si,No,No,No,13/03/2019,13/03/2021,Autonoma
2041,I.P. DE LOS ANGELES,1989,Institutos Profesionales,Juanita Odette Carrasco Fray,Los Carreras 512 - Los Ángeles,Los Ángeles,Región del Bío-Bío,www.iprola.cl,,NO ACREDITADA,,,,,,,,Licenciamiento
2044,I.P. CÁMARA DE COMERCIO DE SANTIAGO,1990,Institutos Profesionales,JUAN FERNANDO ORTEGA PACHECO,Av. Republica N° 190,Santiago,Región Metropolitana,www.escueladecomercio.cl,,NO ACREDITADA,,,,,,,,Autonoma
2045,I.P. HELEN KELLER,1989,Institutos Profesionales,Julia Calderón Bordalí,Av. Blanco  1099,Valparaíso,Región de Valparaíso,www.helenkeller.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
2046,I.P. LATINOAMERICANO DE COMERCIO EXTERIOR,1990,Institutos Profesionales,Gonzalo Tomarelli Rubio,Compañia 2015,Santiago,Región Metropolitana,www.iplacex.cl,3,ACREDITADA,Si,Si,No,No,No,13/12/2017,13/12/2020,Autonoma
2047,I.P. PROJAZZ,2007,Institutos Profesionales,George Abufhele Bus,Ramón Carnicer #27,Providencia,Región Metropolitana,www.projazz.cl,,NO ACREDITADA,,,,,,,,Autonoma
2049,I.P. INTERNACIONAL DE ARTES CULINARIAS Y SERVICIOS,2008,Institutos Profesionales,María Trinidad Riesco Eyzaguirre,Av. La Dehesa 2541,Lo Barnechea,Región Metropolitana,www.culinary.cl,2,ACREDITADA,Si,Si,No,No,No,09/01/2019,09/01/2021,Autonoma
2050,I.P. ESCUELA DE CINE DE CHILE,2009,Institutos Profesionales,Antonino Ballestrazzi Peñaloza,Lo encalada N° 405,Ñuñoa,Región Metropolitana,www.escuelacine.cl,,NO ACREDITADA,,,,,,,,Licenciamiento
2051,I.P. VERTICAL,2011,Institutos Profesionales,Sergio Araya Becerra,Avenida Ejercito Libertador 27, Santiago Centro,Santiago,Región Metropolitana,www.institutovertical.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
2052,I.P. ESCUELA DE MARINA MERCANTE PILOTO PARDO,2013,Institutos Profesionales,Carlos Beth Marcoleta,Levarte 66,Valparaíso,Región de Valparaíso,http://www.ippilotopardo.cl,,NO ACREDITADA,,,,,,,,Licenciamiento
2053,I.P. DE ARTES ESCENICAS KAREN CONNOLLY,2013,Institutos Profesionales,Karen Mavis Lewis - Connolly,Bombero Nuñez 127,Recoleta,Región Metropolitana,http://www.karenconnolly.cl,,NO ACREDITADA,,,,,,,,Licenciamiento
3002,C.F.T. CENTRO TECNOLÓGICO SUPERIOR INFOMED,1982,Centros de Formación Técnica,Isabel Pereira Venegas,Brown Norte 274,Ñuñoa,Región Metropolitana,www.infomed.cl,,NO ACREDITADA,,,,,,,,Autonoma
3005,C.F.T. ENAC,1990,Centros de Formación Técnica,JORGE MENENDEZ GALLEGOS,Alameda Libertador Bernardo O'Higgins 2182,Santiago,Región Metropolitana,www.enac.cl,6,ACREDITADA,Si,Si,No,No,No,25/10/2016,25/10/2022,Autonoma
3007,C.F.T. ANDRÉS BELLO,1982,Centros de Formación Técnica,Haroldo Fuentealba Espinoza,Las Heras Nº 538,Temuco,Región de La Araucanía,www.cftandresbello.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
3010,C.F.T. SANTO TOMÁS,1982,Centros de Formación Técnica,Juan Pablo Guzman Aldunate,Vergara N° 165, Santiago,Santiago,Región Metropolitana,www.santotomas.cl,5,ACREDITADA,Si,Si,No,No,No,20/12/2019,20/12/2024,Autonoma
3014,C.F.T. INACAP,1983,Centros de Formación Técnica,Luis Eduardo Prieto Fernández de Castro,Av. Vitacura 10.151,Vitacura,Región Metropolitana,www.inacap.cl,7,ACREDITADA,Si,Si,No,No,No,05/01/2018,05/01/2025,Autonoma
3018,C.F.T. ESTUDIO PROFESOR VALERO,1985,Centros de Formación Técnica,Sergio Valero Guzmán,Almirante Simpson  28,Providencia,Región Metropolitana,www.bailesvalero.cl,,NO ACREDITADA,,,,,,,,Supervisión
3020,C.F.T. IPROSEC,1986,Centros de Formación Técnica,Claudia Romero Fuentealba,Los Carrera 436,Osorno,Región de Los Lagos,www.cftiprosec.cl,2,ACREDITADA,Si,Si,No,No,No,11/07/2019,11/07/2021,Autonoma
3021,C.F.T. INST. SUPERIOR DE ESTUDIOS JURÍDICOS CANON,1986,Centros de Formación Técnica,Carlos Zavala Godoy,PASEO BULNES 79 OFICNA 37,Santiago,Región Metropolitana,www.cftcanon.cl,,NO ACREDITADA,,,,,,,,Autonoma
